Air Temperature,Humidity,Wind Speed,Solar Radiation,temp_difference,temp_humidity,wind_ratio,wind_solar,air_temp_rolling_24h,humidity_rolling_24h,wind_speed_rolling_7h,solar_radiation_7h
9.1,80,5.9,177.0,1.6,728.0,0.63,1044.3,8.22,88.62,6.46,236.14
9.0,80,5.7,307.0,1.7,720.0,0.68,1749.9,8.21,88.08,6.23,264.29
9.0,82,5.2,158.0,1.5,738.0,0.69,821.6,8.2,87.62,6.09,267.0
8.8,82,4.3,37.0,1.6,721.6,0.59,159.1,8.21,87.08,5.7,238.57
8.8,81,4.3,13.0,1.6,712.8,0.61,55.9,8.24,86.62,5.37,178.14
8.6,80,4.9,3.0,1.6,688.0,0.69,14.7,8.25,86.17,5.06,141.43
8.6,81,3.3,3.0,1.5,696.6,0.6,9.9,8.27,85.75,4.8,99.71
8.4,83,2.4,3.0,1.4,697.2,0.5,7.2,8.28,85.54,4.3,74.86
8.9,84,1.6,3.0,1.3,747.6,0.48,4.8,8.31,85.42,3.71,31.43
10.0,84,2.6,3.0,1.3,840.0,0.55,7.8,8.39,85.25,3.34,9.29
9.9,78,4.4,3.0,1.9,772.2,0.56,13.2,8.48,84.79,3.36,4.43
9.3,82,4.4,3.0,1.6,762.6,0.66,13.2,8.56,84.46,3.37,3.0
9.2,82,4.7,3.0,1.5,754.4,0.64,14.1,8.64,84.17,3.34,3.0
9.3,85,2.9,4.0,1.3,790.5,0.55,11.6,8.73,83.96,3.29,3.14
9.0,84,4.3,24.0,1.3,756.0,0.65,103.2,8.81,83.58,3.56,6.14
9.2,85,3.4,82.0,1.3,782.0,0.68,278.8,8.88,83.25,3.81,17.43
9.0,85,3.7,80.0,1.2,765.0,0.69,296.0,8.95,82.92,3.97,28.43
9.0,85,3.2,354.0,1.3,765.0,0.65,1132.8,9.0,82.75,3.8,78.57
9.0,84,3.4,318.0,1.4,756.0,0.64,1081.2,9.04,82.58,3.66,123.57
8.9,83,4.1,705.0,1.4,738.7,0.69,2890.5,9.06,82.42,3.57,223.86
9.4,81,3.0,931.0,1.6,761.4,0.61,2793.0,9.1,82.29,3.59,356.29
10.0,80,4.0,923.0,1.7,800.0,0.62,3692.0,9.14,82.12,3.54,484.71
10.0,80,3.9,788.0,1.7,800.0,0.64,3073.2,9.17,82.12,3.61,585.57
9.9,78,4.0,651.0,1.9,772.2,0.69,2604.0,9.18,82.04,3.66,667.14
10.1,73,3.2,34.0,2.3,737.3,0.62,108.8,9.22,81.75,3.66,621.43
10.3,69,2.3,30.0,2.7,710.7,0.52,69.0,9.28,81.29,3.5,580.29
10.2,69,2.8,24.0,2.7,703.8,0.64,67.2,9.33,80.75,3.31,483.0
9.8,71,2.2,11.0,2.5,695.8,0.44,24.2,9.37,80.29,3.2,351.57
9.8,71,2.7,3.0,2.5,695.8,0.59,8.1,9.41,79.88,3.01,220.14
9.6,72,1.4,2.0,2.4,691.2,0.47,2.8,9.45,79.54,2.66,107.86
9.6,71,1.1,3.0,2.5,681.6,0.46,3.3,9.49,79.12,2.24,15.29
9.6,70,0.0,2.0,2.5,672.0,0.0,0.0,9.54,78.58,1.79,10.71
10.1,66,0.0,3.0,3.0,666.6,0.0,0.0,9.59,77.83,1.46,6.86
9.7,78,0.6,3.0,1.9,756.6,0.33,1.8,9.58,77.58,1.14,3.86
10.1,77,1.3,3.0,2.1,777.7,0.46,3.9,9.59,77.54,1.01,2.71
9.9,81,1.7,3.0,1.6,801.9,0.59,5.1,9.61,77.5,0.87,2.71
9.5,84,1.0,4.0,1.4,798.0,0.45,4.0,9.62,77.58,0.81,3.0
9.8,84,1.4,116.0,1.3,823.2,0.5,162.4,9.65,77.54,0.86,19.14
10.2,83,1.9,458.0,1.5,846.6,0.54,870.2,9.7,77.5,1.13,84.29
10.9,81,1.3,630.0,1.7,882.9,0.41,819.0,9.77,77.33,1.31,173.86
11.3,81,1.1,772.0,1.8,915.3,0.42,849.2,9.86,77.17,1.39,283.71
11.6,84,2.0,878.0,1.4,974.4,0.56,1756.0,9.97,77.12,1.49,408.71
13.1,81,1.4,927.0,1.8,1061.1,0.44,1297.8,10.14,77.0,1.44,540.71
14.4,76,1.1,881.0,2.3,1094.4,0.41,969.1,10.37,76.71,1.46,666.0
15.8,67,0.7,644.0,3.4,1058.6,0.25,450.8,10.64,76.12,1.36,741.43
14.3,74,0.0,36.0,2.6,1058.2,0.0,0.0,10.82,75.88,1.09,681.14
13.8,76,0.6,42.0,2.3,1048.8,0.29,25.2,10.98,75.71,0.99,597.14
13.6,74,0.8,10.0,2.5,1006.4,0.32,8.0,11.13,75.54,0.94,488.29
13.4,70,0.8,2.0,2.9,938.0,0.25,1.6,11.27,75.42,0.77,363.14
13.5,66,1.3,2.0,3.4,891.0,0.43,2.6,11.4,75.29,0.76,231.0
14.3,56,1.1,2.0,4.5,800.8,0.24,2.2,11.57,74.75,0.76,105.43
14.5,59,1.2,2.0,4.2,855.5,0.34,2.4,11.77,74.25,0.83,13.71
14.7,63,1.2,2.0,3.9,926.1,0.32,2.4,11.97,73.92,1.0,8.86
13.9,74,1.3,2.0,2.5,1028.6,0.38,2.6,12.15,74.0,1.1,3.14
14.7,75,0.7,2.0,2.5,1102.5,0.25,1.4,12.36,74.17,1.09,2.0
15.2,75,0.6,2.0,2.6,1140.0,0.26,1.2,12.6,74.38,1.06,2.0
15.3,70,1.1,6.0,3.1,1071.0,0.32,6.6,12.81,74.54,1.03,2.57
15.5,70,1.6,108.0,3.1,1085.0,0.42,172.8,13.05,74.21,1.1,17.71
15.6,73,1.7,398.0,2.9,1138.8,0.39,676.6,13.28,74.04,1.17,74.29
17.1,68,1.4,633.0,3.5,1162.8,0.37,886.2,13.58,73.5,1.2,164.43
14.0,82,2.5,762.0,1.7,1148.0,0.61,1905.0,13.77,73.42,1.37,273.0
16.8,68,2.1,855.0,3.4,1142.4,0.35,1795.5,14.06,72.75,1.57,394.86
15.8,75,1.8,906.0,2.7,1185.0,0.5,1630.8,14.3,72.42,1.74,524.0
16.8,71,1.5,908.0,3.1,1192.8,0.39,1362.0,14.54,72.0,1.8,652.86
17.9,66,1.9,834.0,3.9,1181.4,0.43,1584.6,14.82,71.38,1.84,756.57
17.6,68,1.6,597.0,3.6,1196.8,0.4,955.2,15.07,70.71,1.83,785.0
18.8,62,2.8,104.0,4.5,1165.6,0.5,291.2,15.3,69.92,2.03,709.43
17.4,67,1.6,60.0,3.6,1165.8,0.34,96.0,15.43,69.54,1.9,609.14
17.1,69,1.5,24.0,3.5,1179.9,0.36,36.0,15.48,69.62,1.81,490.43
17.6,67,2.3,1.0,3.7,1179.2,0.4,2.3,15.62,69.33,1.89,361.14
18.1,66,0.8,1.0,3.8,1194.6,0.32,0.8,15.8,68.92,1.79,231.57
20.0,63,1.2,0.0,4.5,1260.0,0.33,0.0,16.07,68.46,1.69,112.43
19.5,64,0.6,0.0,4.3,1248.0,0.23,0.0,16.32,68.21,1.54,27.14
19.0,67,0.5,0.0,3.9,1273.0,0.21,0.0,16.55,68.25,1.21,12.29
18.9,65,0.8,1.0,4.0,1228.5,0.27,0.8,16.74,68.62,1.1,3.86
18.4,68,0.9,1.0,3.7,1251.2,0.32,0.9,16.9,69.0,1.01,0.57
18.1,71,0.9,2.0,3.3,1285.1,0.28,1.8,17.05,69.33,0.81,0.71
19.1,70,1.1,121.0,3.6,1337.0,0.28,133.1,17.26,69.17,0.86,17.86
20.2,68,0.6,248.0,3.9,1373.6,0.26,148.8,17.49,68.88,0.77,53.29
23.1,62,1.0,691.0,5.0,1432.2,0.28,691.0,17.82,68.33,0.83,152.0
23.6,61,0.9,415.0,5.1,1439.6,0.26,373.5,18.17,67.96,0.89,211.29
25.4,57,0.8,309.0,6.1,1447.8,0.25,247.2,18.58,67.42,0.89,255.29
25.5,57,1.5,368.0,6.1,1453.5,0.36,552.0,18.99,66.75,0.97,307.71
26.4,54,0.7,454.0,6.7,1425.6,0.28,317.8,19.38,66.17,0.94,372.29
22.7,65,1.1,212.0,4.5,1475.5,0.31,233.2,19.74,65.46,0.94,385.29
24.8,58,0.7,52.0,5.8,1438.4,0.33,36.4,20.08,65.04,0.96,357.29
24.8,59,1.0,17.0,5.6,1463.2,0.34,17.0,20.45,64.38,0.96,261.0
24.7,60,0.4,0.0,5.5,1482.0,0.22,0.0,20.78,63.92,0.89,201.71
25.5,57,0.7,0.0,6.1,1453.5,0.27,0.0,21.1,63.54,0.87,157.57
25.5,59,1.0,0.0,5.7,1504.5,0.36,0.0,21.42,63.17,0.8,105.0
24.7,63,2.1,0.0,5.0,1556.1,0.57,0.0,21.67,63.21,1.0,40.14
20.0,71,2.2,0.0,3.5,1420.0,0.45,0.0,21.78,63.38,1.16,9.86
18.0,77,0.5,1.0,2.6,1386.0,0.19,0.5,21.82,63.71,1.13,2.57
16.7,82,1.5,1.0,1.8,1369.4,0.43,1.5,21.78,64.33,1.2,0.29
16.2,86,0.5,1.0,1.5,1393.2,0.19,0.5,21.7,65.17,1.21,0.43
13.4,96,2.0,2.0,0.4,1286.4,0.45,4.0,21.42,66.54,1.4,0.71
12.5,97,1.9,23.0,0.3,1212.5,0.41,43.7,21.13,67.92,1.53,4.0
11.6,97,2.5,42.0,0.2,1125.2,0.51,105.0,20.82,69.17,1.59,10.0
11.9,98,3.7,122.0,0.2,1166.2,0.57,451.4,20.53,70.54,1.8,27.43
11.8,97,3.0,153.0,0.2,1144.6,0.55,459.0,20.26,71.75,2.16,49.14
12.2,94,4.9,199.0,0.6,1146.8,0.63,975.1,20.01,72.71,2.64,77.43
11.3,96,4.9,117.0,0.4,1084.8,0.6,573.3,19.69,73.79,3.27,94.0
11.6,91,6.2,149.0,0.8,1055.6,0.64,923.8,19.33,74.75,3.87,115.0
10.7,96,4.8,92.0,0.4,1027.2,0.6,441.6,18.81,76.17,4.29,124.86
11.8,89,3.1,55.0,0.9,1050.2,0.48,170.5,18.32,77.33,4.37,126.71
12.1,89,1.4,14.0,1.0,1076.9,0.26,19.6,17.77,78.67,4.04,111.29
11.9,87,2.0,3.0,1.2,1035.3,0.37,6.0,17.2,79.92,3.9,89.86
11.4,88,3.6,3.0,1.1,1003.2,0.55,10.8,16.58,81.33,3.71,61.86
10.6,87,2.2,4.0,1.1,922.2,0.47,8.8,16.07,82.25,3.33,45.71
10.4,90,1.2,3.0,0.9,936.0,0.4,3.6,15.47,83.58,2.61,24.86
10.9,90,2.1,3.0,0.9,981.0,0.52,6.3,14.89,84.88,2.23,12.14
10.7,91,2.6,3.0,0.9,973.7,0.57,7.8,14.31,86.17,2.16,4.71
11.1,89,1.9,13.0,1.0,987.9,0.56,24.7,13.71,87.5,2.23,4.57
11.0,90,2.9,147.0,0.8,990.0,0.63,426.3,13.1,88.79,2.36,25.14
11.8,87,1.5,440.0,1.2,1026.6,0.42,660.0,12.57,89.79,2.06,87.57
12.4,87,2.6,607.0,1.2,1078.8,0.58,1578.2,12.25,90.46,2.11,173.71
12.8,87,2.5,752.0,1.2,1113.6,0.58,1880.0,12.03,90.88,2.3,280.71
12.9,86,2.5,843.0,1.3,1109.4,0.6,2107.5,11.88,91.04,2.36,400.71
12.9,86,3.5,896.0,1.3,1109.4,0.61,3136.0,11.74,91.04,2.49,528.29
12.8,86,3.1,904.0,1.3,1100.8,0.56,2802.4,11.71,90.62,2.66,655.57
12.8,82,2.8,831.0,1.7,1049.6,0.6,2326.8,11.73,90.0,2.64,753.29
13.1,80,2.2,725.0,1.9,1048.0,0.54,1595.0,11.79,89.29,2.74,794.0
12.6,81,1.8,647.0,1.8,1020.6,0.5,1164.6,11.82,88.58,2.63,799.71
12.3,82,1.3,51.0,1.6,1008.6,0.41,66.3,11.84,87.96,2.46,699.57
12.2,82,1.3,50.0,1.7,1000.4,0.42,65.0,11.84,87.46,2.29,586.29
12.1,82,0.6,44.0,1.7,992.2,0.35,26.4,11.87,86.88,1.87,464.57
11.6,81,1.8,17.0,1.7,939.6,0.55,30.6,11.87,86.46,1.69,337.86
12.2,78,0.7,2.0,2.0,951.6,0.37,1.4,11.93,85.71,1.39,219.43
12.8,80,1.7,2.0,1.9,1024.0,0.53,3.4,11.98,85.33,1.31,116.14
12.4,84,1.3,2.0,1.5,1041.6,0.5,2.6,11.99,85.12,1.24,24.0
12.5,83,0.8,2.0,1.5,1037.5,0.42,1.6,12.01,84.96,1.17,17.0
14.1,80,0.6,2.0,2.0,1128.0,0.32,1.2,12.12,84.62,1.07,10.14
16.7,78,1.1,2.0,2.4,1302.6,0.28,2.2,12.38,84.25,1.14,4.14
18.3,75,1.3,1.0,2.8,1372.5,0.28,1.3,12.71,83.62,1.07,1.86
