feature,importance
temp_humidity,0.2218
Humidity,0.1231
wind_ratio,0.095
Air Temperature,0.0849
Wind Speed,0.0826
air_temp_rolling_24h,0.0813
humidity_rolling_24h,0.0666
wind_speed_rolling_7h,0.0611
Solar Radiation,0.0576
solar_radiation_7h,0.0495
temp_difference,0.0433
wind_solar,0.0334
